_id,datacollecttime,laneoccupy,speed,vdid,volume
{'$oid': '5c7f85c253e0f554880c02de'},2018-11-01 00:00:00,3.42,56.86,nfbVD-N1-S--0.008-M-LOOP,420
{'$oid': '5c7f85c253e0f554880c02df'},2018-11-01 00:00:00,1.65,105.0,nfbVD-N1-S-0.990-N-LOOP,180
{'$oid': '5c7f85c253e0f554880c02e0'},2018-11-01 00:00:00,0.83,63.0,nfbVD-N1-S-1-O-NW-1-基隆,60
{'$oid': '5c7f85c253e0f554880c02e1'},2018-11-01 00:00:00,0.83,56.0,nfbVD-N1-S-1-I-ES-1A-基隆,120
{'$oid': '5c7f85c253e0f554880c02e2'},2018-11-01 00:00:00,0.83,42.0,nfbVD-N1-S-1-I-WS-1B-基隆,60
{'$oid': '5c7f85c253e0f554880c02e3'},2018-11-01 00:00:00,0.0,96.0,nfbVD-N1-S-1.740-M-LOOP,120
{'$oid': '5c7f85c253e0f554880c02e4'},2018-11-01 00:00:00,0.83,78.0,nfbVD-N1-S-1.950-M-RS,240
{'$oid': '5c7f85c253e0f554880c02e5'},2018-11-01 00:00:00,1.65,98.5,nfbVD-N1-S-2.450-N-LOOP,360
{'$oid': '5c7f85c253e0f554880c02e6'},2018-11-01 00:00:00,2.48,60.0,nfbVD-N1-S-2-I-ES-1-八堵,180
{'$oid': '5c7f85c253e0f554880c02e7'},2018-11-01 00:00:00,2.13,87.14,nfbVD-N1-S-3.900-M-RS,420
{'$oid': '5c7f85c253e0f554880c02e8'},2018-11-01 00:00:00,3.4,86.67,nfbVD-N1-S-4.830-M-LOOP,540
{'$oid': '5c7f85c253e0f554880c02e9'},2018-11-01 00:00:00,1.65,73.0,nfbVD-N1-S-5-I-ES-1-大華系統,180
{'$oid': '5c7f85c253e0f554880c02ea'},2018-11-01 00:00:00,0.0,0.0,nfbVD-N1-S-5-I-WS-1-大華系統,0
{'$oid': '5c7f85c253e0f554880c02eb'},2018-11-01 00:00:00,0.83,95.0,nfbVD-N1-S-5.140-M-LOOP,180
{'$oid': '5c7f85c253e0f554880c02ec'},2018-11-01 00:00:00,0.0,102.0,nfbVD-N1-S-6.600-N-LOOP,60
{'$oid': '5c7f85c253e0f554880c02ed'},2018-11-01 00:00:00,0.83,42.0,nfbVD-N1-S-6-I-ES-1-五堵,60
{'$oid': '5c7f85c253e0f554880c02ee'},2018-11-01 00:00:00,0.83,44.0,nfbVD-N1-S-6-I-ES-2-五堵,60
{'$oid': '5c7f85c253e0f554880c02ef'},2018-11-01 00:00:00,0.0,0.0,nfbVD-N1-S-6-O-NW-1-五堵出口,0
{'$oid': '5c7f85c253e0f554880c02f0'},2018-11-01 00:00:00,0.83,89.0,nfbVD-N1-S-7.580-M-RS,360
{'$oid': '5c7f85c253e0f554880c02f1'},2018-11-01 00:00:00,1.65,87.86,nfbVD-N1-S-8.258-M-LOOP,420
{'$oid': '5c7f85c253e0f554880c02f2'},2018-11-01 00:00:00,1.65,93.14,nfbVD-N1-S-8.940-M-LOOP,420
{'$oid': '5c7f85c253e0f554880c02f3'},2018-11-01 00:00:00,0.0,0.0,nfbVD-N1-S-9-B-汐止收費站,0
{'$oid': '5c7f85c253e0f554880c02f4'},2018-11-01 00:00:00,1.24,89.67,nfbVD-N1-S-9.625-M-LOOP,360
{'$oid': '5c7f85c253e0f554880c02f5'},2018-11-01 00:00:00,2.48,96.0,nfbVD-N1-S-10.260-M-RS,300
{'$oid': '5c7f85c253e0f554880c02f6'},2018-11-01 00:00:00,3.31,42.0,nfbVD-N1-S-10-I-ES-1-汐止,180
{'$oid': '5c7f85c253e0f554880c02f7'},2018-11-01 00:00:00,0.0,0.0,nfbVD-N1-S-10-O-NE-1-汐止,0
{'$oid': '5c7f85c253e0f554880c02f8'},2018-11-01 00:00:00,3.21,102.78,nfbVD-N1-S-11.085-N-LOOP,540
{'$oid': '5c7f85c253e0f554880c02f9'},2018-11-01 00:00:00,1.65,86.0,nfbVD-N1-S-11-C-S-1-汐止系統,180
{'$oid': '5c7f85c253e0f554880c02fa'},2018-11-01 00:00:00,0.0,0.0,nfbVD-N1-S-11-I-ES-2A-汐止系統,0
{'$oid': '5c7f85c253e0f554880c02fb'},2018-11-01 00:00:00,0.0,71.0,nfbVD-N1-S-11-I-WS-2B-汐止系統,60
{'$oid': '5c7f85c253e0f554880c02fc'},2018-11-01 00:00:00,1.76,95.75,nfbVD-N1-S-11.700-M-LOOP,480
{'$oid': '5c7f85c253e0f554880c02fd'},2018-11-01 00:00:00,1.38,109.0,nfbVD-N1-S-12.350-M-RS,540
{'$oid': '5c7f85c253e0f554880c02fe'},2018-11-01 00:00:00,0.83,100.67,nfbVD-N1-S-13.813-M-LOOP,360
{'$oid': '5c7f85c253e0f554880c02ff'},2018-11-01 00:00:00,1.65,91.29,nfbVD-N1-S-15.168-N-LOOP,420
{'$oid': '5c7f85c253e0f554880c0300'},2018-11-01 00:00:00,4.96,46.0,nfbVD-N1-S-15-I-WS-1-東湖,240
{'$oid': '5c7f85c253e0f554880c0301'},2018-11-01 00:00:00,1.1,86.33,nfbVD-N1-S-15.825-M-RS,720
{'$oid': '5c7f85c253e0f554880c0302'},2018-11-01 00:00:00,3.23,95.27,nfbVD-N1-S-16.298-M-LOOP,660
{'$oid': '5c7f85c253e0f554880c0303'},2018-11-01 00:00:00,0.0,0.0,nfbVD-N1-S-16-I-WS-1-內湖,0
{'$oid': '5c7f85c253e0f554880c0304'},2018-11-01 00:00:00,3.31,73.0,nfbVD-N1-S-16-O-NE-1A-內湖,300
{'$oid': '5c7f85c253e0f554880c0305'},2018-11-01 00:00:00,0.41,56.5,nfbVD-N1-S-16-O-NW-1B-內湖成功路,120
{'$oid': '5c7f85c253e0f554880c0306'},2018-11-01 00:00:00,2.93,101.18,nfbVD-N1-S-17.340-N-LOOP,660
{'$oid': '5c7f85c253e0f554880c0307'},2018-11-01 00:00:00,2.01,90.0,nfbVD-N1-S-18.710-M-LOOP,420
{'$oid': '5c7f85c253e0f554880c0308'},2018-11-01 00:00:00,3.51,93.38,nfbVD-N1-S-20.000-M-RS,960
{'$oid': '5c7f85c253e0f554880c0309'},2018-11-01 00:00:00,2.93,93.73,nfbVD-N1-S-21.390-M-LOOP,660
{'$oid': '5c7f85c253e0f554880c030a'},2018-11-01 00:00:00,2.07,96.5,nfbVD-N1-S-22.704-M-LOOP,360
